City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
162,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
163,Villa Bruzual,VE,76.5,clear sky,9.3328,-69.1208,hotel italia
164,Cockburn Town,TC,82.36,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
165,Bartlesville,US,82.69,clear sky,36.7473,-95.9808,Hilton Garden Inn Bartlesville
167,Mao,ES,73.96,clear sky,39.8885,4.2658,ARTIEM Capri
171,Lake City,US,76.78,broken clouds,30.1897,-82.6393,Ramada Limited Lake City
173,Pontes E Lacerda,BR,77.67,few clouds,-15.2261,-59.3353,Hotel Bressan
176,Harper,LR,75.83,moderate rain,4.375,-7.7169,Screensaver
179,Camacha,PT,71.02,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
181,Corinto,GR,73.76,clear sky,37.9407,22.9573,Ephira Hotel
182,Miri,MY,75.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
187,Ocean City,US,77.31,overcast clouds,39.2776,-74.5746,Biscayne Suites
189,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
192,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
195,Pacific Grove,US,76.8,clear sky,36.6177,-121.9166,Lovers Point Inn
197,Zhuanghe,CN,71.15,overcast clouds,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
198,Lorengau,PG,77.22,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
200,Dicabisagan,PH,85.03,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
202,Sao Filipe,CV,80.44,scattered clouds,14.8961,-24.4956,Hotel Xaguate
204,Dourados,BR,72.03,overcast clouds,-22.2211,-54.8056,Bravo City Hotel
205,Japura,ID,80.46,broken clouds,-0.3167,102.35,Rumah mbah Jamah
206,Kumluca,TR,71.13,clear sky,36.3703,30.2869,TurkuazKöy
207,Porto Velho,BR,77.05,light rain,-8.7619,-63.9039,Hotel Central
208,Hamilton,US,71.42,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
210,Kayankulam,IN,76.39,moderate rain,9.1833,76.5,Hotel Indraprastha
217,Boyolangu,ID,78.8,overcast clouds,-8.1181,111.8935,Yos ega cv
223,Arawa,PG,86.97,overcast clouds,-6.2132,155.5367,Coastline Guest House
227,Mae Chan,TH,73.06,overcast clouds,20.1467,99.8526,Kiang Dao Resort
229,Hirara,JP,84.47,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
231,Koumac,NC,73.27,broken clouds,-20.5667,164.2833,Le Monitel
233,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
235,Ribeira Grande,PT,71.31,clear sky,38.5167,-28.7,Quinta da Meia Eira
236,Lagoa,PT,70.07,clear sky,39.05,-27.9833,Casa Das Faias
237,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
239,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
241,Portland,US,72.45,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
244,San Patricio,US,86.41,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
249,Hasaki,JP,75.6,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
251,Alice Springs,AU,85.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
253,Hun,LY,72.61,clear sky,29.1268,15.9477,Alrwasi Hotel
260,Wajima,JP,74.08,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
261,Jalor,IN,81.18,clear sky,25.35,72.6167,Hotel Mansarovar
263,Lamu,KE,75.42,few clouds,-2.2717,40.902,Lamu House
264,Ixtapa,MX,80.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
266,Nabire,ID,79.7,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
268,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
272,Takoradi,GH,74.52,light rain,4.8845,-1.7554,Raybow International Hotel
277,Banda Aceh,ID,81.23,moderate rain,5.5577,95.3222,Sulthan Hotel International
281,Salina Cruz,MX,80.51,few clouds,16.1667,-95.2,Amerik HOTEL
290,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
291,Praia,CV,81.14,scattered clouds,14.9215,-23.5087,LT Aparthotel
297,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
298,Ugoofaaru,MV,82.24,overcast clouds,5.6667,73.0,Ungoofaaru Inn
299,Sangre Grande,TT,82.36,clear sky,10.5835,-61.1177,Lotus drive
304,Vanimo,PG,81.07,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
305,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
307,Fort Carson,US,85.42,clear sky,38.7375,-104.7889,Cheyenne Mountain Estates
308,Caibarien,CU,78.98,light rain,22.5206,-79.4669,La Nena
310,Xuddur,SO,72.61,broken clouds,4.1213,43.8894,Banjanay Hotel
313,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
315,Formosa Do Rio Preto,BR,78.69,clear sky,-11.0483,-45.1931,Porto Center Hotel
321,Bismarck,US,82.24,clear sky,46.8083,-100.7837,Ramkota Hotel & Conference Center
323,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
324,Namatanai,PG,83.19,light rain,-3.6667,152.4333,Seagulls Inn Namatani
325,Nakamura,JP,78.87,broken clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
328,Abidjan,CI,75.16,moderate rain,5.3094,-4.0197,ibis Abidjan Plateau
329,Ramon,PH,81.77,overcast clouds,16.7842,121.535,May traveller's Inn
331,Kainantu,PG,72.84,broken clouds,-6.2887,145.8655,Sylvester buku
334,San Quintin,MX,70.92,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
338,Siocon,PH,82.11,broken clouds,7.7061,122.1353,ABS Hotel
342,Soure,BR,80.28,clear sky,-0.7167,-48.5233,Casarão da Amazônia
345,Vila Do Maio,CV,81.39,overcast clouds,15.1333,-23.2167,Hotel Marilu
346,High Rock,BS,82.42,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
353,Limbang,MY,77.31,light rain,4.75,115.0,Purnama Hotel
356,Carutapera,BR,76.86,clear sky,-1.195,-46.02,Lidera
359,Pochutla,MX,81.45,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
363,Manta,EC,73.18,broken clouds,-0.95,-80.7333,Balandra Hotel
365,Cabinda,AO,75.33,overcast clouds,-5.55,12.2,Hotel Maiombe
368,Manjacaze,MZ,70.97,overcast clouds,-24.7117,33.8828,Hotel Gani
369,Brownsville,US,84.2,few clouds,25.9018,-97.4975,University Inn & Suites
371,Rosetta,EG,76.82,clear sky,31.4044,30.4164,Green Valley
372,Pierre,US,81.52,clear sky,44.3683,-100.351,Ramkota Hotel
376,Pocatello,US,82.31,clear sky,42.8713,-112.4455,Clarion Inn Pocatello
380,Marawi,PH,74.64,scattered clouds,7.9986,124.2928,Derogongan Residence
383,Coahuayana,MX,81.88,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
384,Dingle,PH,83.68,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
387,Bontang,ID,74.28,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
390,Victoria,HK,87.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
394,Pangai,TO,82.51,light rain,-19.8,-174.35,Ha'apai Beach Resort
399,Touros,BR,76.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
401,Guozhen,CN,71.92,light rain,34.3659,107.359,Yucai Hotel
402,Lahaina,US,87.8,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
404,Gotsu,JP,71.74,broken clouds,35.0,132.2167,Yurusato
405,Iralaya,HN,82.49,overcast clouds,15.0,-83.2333,Iglesia morava renovada
406,Korla,CN,71.35,scattered clouds,41.7597,86.1469,Gulisitan Hotel
407,Padang,ID,77.05,few clouds,-0.9492,100.3543,Mercure Padang
408,Sao Joao Da Barra,BR,74.19,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
415,Kifri,IQ,82.22,clear sky,34.6959,44.9661,میزان کفری
419,Kununurra,AU,89.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
429,Trairi,BR,79.18,clear sky,-3.2778,-39.2689,janelas do mar
431,Poso,ID,77.77,light rain,-1.3959,120.7524,Hotel 77 Poso
435,Soyo,AO,75.29,overcast clouds,-6.1349,12.3689,Hotel Mpampa
440,Manokwari,ID,80.19,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
441,Kunda,IN,75.67,heavy intensity rain,25.7167,81.5167,Abhinav Mishra
447,Houston,US,82.54,overcast clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
448,Itamaraca,BR,77.68,scattered clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
450,Tabursuq,TN,84.49,overcast clouds,36.4569,9.2475,asma coin de beauté
451,Banda,IN,77.0,heavy intensity rain,25.4833,80.3333,Hotel Comfort-Inn
454,Mamit,IN,70.57,broken clouds,23.9333,92.4833,R.Tlangliana Building
455,Tual,ID,81.01,few clouds,-5.6667,132.75,Grand Vilia Hotel
456,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
457,Monrovia,LR,75.9,moderate rain,6.3005,-10.7969,Sunset Inn
458,Tura,IN,74.68,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
459,Palimbang,PH,80.6,light rain,6.2106,124.1894,Felmar Beach resort
460,Assai,BR,71.46,overcast clouds,-23.3733,-50.8414,Árvore Menor
463,Puerto Suarez,BO,81.39,few clouds,-18.95,-57.8,Hotel casa real
464,Xuchang,CN,76.08,light rain,34.0167,113.8167,Super 8 Hotel
465,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
466,Hami,CN,75.67,clear sky,42.8,93.45,Laoyutang Resort
471,Guskhara,IN,78.24,overcast clouds,23.5,87.75,Ananda Kuthi
473,Kontagora,NG,72.79,overcast clouds,10.3999,5.4695,Queens Guest Inn
474,Madukkarai,IN,75.88,mist,10.9,76.9667,Sri Nandhana Residency
476,Martapura,ID,73.72,light rain,-3.4167,114.85,Montana Hotel Syariah
481,Yulara,AU,76.84,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
482,Denia,ES,76.46,clear sky,38.8408,0.1057,Hotel Port Dénia
486,Piacabucu,BR,75.24,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
487,Port Augusta,AU,74.71,clear sky,-32.5,137.7667,Majestic Oasis Apartments
488,Lockhart,US,82.2,overcast clouds,28.6194,-81.4426,Courtyard by Marriott Orlando Altamonte Springs/Maitland
489,Bubaque,GW,81.48,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
