City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Nha Trang,VN,12.25,109.1833,80.6,83,100,2.42,overcast clouds
81,Mokhsogollokh,RU,61.4681,128.9203,46.94,92,100,3.44,overcast clouds
82,Gwadar,PK,25.1216,62.3254,82.22,66,81,4.34,broken clouds
83,Greenfield,US,42.9614,-88.0126,65.86,72,1,6.91,clear sky
84,Byron Bay,AU,-28.65,153.6167,73.06,57,44,12.8,scattered clouds
85,Bethel,US,41.3712,-73.414,77.09,80,1,3.44,clear sky
86,Luderitz,NA,-26.6481,15.1594,51.8,68,0,19.06,clear sky
87,Dikson,RU,73.5069,80.5464,37.58,97,100,26.51,overcast clouds
88,Bandarbeyla,SO,9.4942,50.8122,77.95,80,100,25.97,overcast clouds
89,Tiksi,RU,71.6872,128.8694,40.59,88,100,1.12,overcast clouds
90,Veraval,IN,20.9,70.3667,80.55,90,100,13.06,light rain
91,Mount Gambier,AU,-37.8333,140.7667,53.51,71,1,8.05,clear sky
92,Chokurdakh,RU,70.6333,147.9167,36.09,62,84,8.68,broken clouds
93,Ingham,US,42.6,-84.3833,64.02,78,1,0.0,clear sky
94,Beringovskiy,RU,63.05,179.3167,41.9,74,48,10.11,scattered clouds
95,Yellowknife,CA,62.456,-114.3525,48.72,66,75,21.85,broken clouds
96,Elko,US,41.0002,-115.5012,84.22,10,0,8.99,clear sky
97,Puerto Escondido,MX,15.85,-97.0667,83.23,61,75,9.22,broken clouds
98,Tingo Maria,PE,-9.2895,-76.0088,70.9,85,11,3.11,few clouds
99,Vredendal,ZA,-31.6683,18.5012,48.76,81,0,3.2,clear sky
100,Samarai,PG,-10.6167,150.6667,79.39,71,78,16.24,broken clouds
101,Waipawa,NZ,-41.4122,175.5153,47.44,78,100,15.23,overcast clouds
102,New Norfolk,AU,-42.7826,147.0587,55.71,45,6,1.34,clear sky
103,Kodiak,US,57.79,-152.4072,47.71,93,90,9.22,mist
104,Hondo,JP,32.45,130.2,80.55,81,36,9.24,scattered clouds
105,Ahipara,NZ,-35.1667,173.1667,63.54,86,31,13.35,scattered clouds
106,Gasa,PS,31.5,34.4667,75.18,64,0,6.87,clear sky
107,Egvekinot,RU,66.3167,-179.1667,32.32,79,93,1.52,overcast clouds
108,Tomatlan,MX,19.9333,-105.25,77.67,89,89,1.16,overcast clouds
109,Svetlaya,RU,46.5389,138.3297,60.4,70,100,8.57,overcast clouds
110,Saint-Philippe,RE,-21.3585,55.7679,69.39,81,19,7.29,few clouds
111,Tarakan,ID,3.3,117.6333,76.5,94,75,3.44,moderate rain
112,Port-Gentil,GA,-0.7193,8.7815,77.07,86,29,10.69,scattered clouds
113,Okato,NZ,-39.2,173.8833,51.42,91,100,21.32,overcast clouds
114,Chapais,CA,49.7834,-74.8492,49.78,97,8,4.83,clear sky
115,Verkh-Usugli,RU,52.7,115.1667,45.64,54,99,3.58,overcast clouds
116,Faya,SA,18.3851,42.4509,68.11,47,12,3.98,few clouds
117,Bengkulu,ID,-3.8004,102.2655,78.67,81,32,3.65,scattered clouds
118,Atuona,PF,-9.8,-139.0333,77.95,74,0,19.53,clear sky
119,La Crosse,US,43.8014,-91.2396,66.33,78,5,5.84,clear sky
120,Bambous Virieux,MU,-20.3428,57.7575,68.25,94,40,3.44,light rain
121,Pundaguitan,PH,6.3711,126.1689,80.53,79,100,6.53,moderate rain
122,Olinda,BR,-8.0089,-34.8553,76.73,73,40,10.36,scattered clouds
123,Khatanga,RU,71.9667,102.5,37.2,96,100,12.82,overcast clouds
124,Mackay,AU,-21.15,149.2,77.04,53,0,6.91,clear sky
